naptanId,commonName,latitude,longitud
490000115M,Hornchurch Station,51.55469,0.21965
490001243Y,Romford Station,51.5736,0.18393
490G00003049,Abbs Cross Lane,51.56309,0.21461
490G00003258,Alma Avenue,51.55465,0.22979
490G00004001,Billet Lane,51.56313,0.21654
490G00004921,Central Drive,51.5526,0.22959
490G00006068,Devonshire Road,51.55832,0.22033
490G00006980,Frances Bardsley Academy,51.57432,0.19994
490G00011214,Princes Road,51.57313,0.19496
490G00011762,Royal Garrison Church,51.47551,0.05659
490G00013249,The Avenue,51.56002,0.22065
490G00013482,South Street,51.57106,0.18703
490G00013654,Thurloe Gardens,51.57142,0.18476
490G00015118,Albert Road,51.57209,0.19067
490G00015350,Hornchurch Town Centre,51.56164,0.22133
490G00016072,Elmhurst Drive,51.57059,0.20869
490G00016077,Grosvenor Drive,51.5642,0.20869
490G00018815,Newmarket Way,51.54979,0.22786
490G000775,Surrey Quays Shopping Centre,51.49395,-0.04661
HUBNGW,North Greenwich,51.500474,0.004295
490001264W,South Tottenham Station,51.58058,-0.07256
490001273C,Stoke Newington Station,51.56478,-0.07305
490015081Q,Seven Sisters Station,51.58318,-0.07208
490G00004158,Borough Road,51.49959,-0.09963
490G00005598,Copthorne Gardens,51.57359,0.23627
490G00006261,Stamford Hill Library,51.57005,-0.07297
490G00006456,Egerton Road,51.57461,-0.07238
490G00006640,Essex Gardens,51.57822,0.2352
490G00007145,Askew Road Library / Gayford Road,51.50364,-0.24338
490G00007870,Harrow Weald Bus Garage,51.60582,-0.34018
490G00007919,Havering Sixth Form College,51.56118,0.23154
490G00008078,Herbert Road,51.56849,0.23738
490G00008413,Hubbards Chase / Wingletye Lane,51.57598,0.23668
490G00008414,Hubbards Close,51.57708,0.23975
490G00009477,Lynmouth Road,51.56776,-0.07294
490G00010427,Northwold Road / Stoke Newington Common,51.56302,-0.07187
490G00011436,Ravenscourt Grove,51.55713,0.22929
490G00012433,St Ann's Road,51.57775,-0.07302
490G00012524,Stamford Hill Broadway,51.5723,-0.07253
490G000874,Holles Street,51.51533,-0.14458
490001081R,Dalston Kingsland Station,51.54881,-0.07512
490005945M,Dalston Junction Station,51.54667,-0.07558
490G00003307,Stoke Newington Road / Amhurst Road,51.55622,-0.07449
490G00003601,Baring Street,51.53663,-0.09029
490G00003960,Bevenden Street,51.53051,-0.08632
490G00004248,Holmesdale Road,51.46576,0.12779
490G00006169,Downham Road,51.53955,-0.08637
490G00006289,Eagle Wharf Road,51.53401,-0.08793
490G00006948,Forest Road,51.5443,-0.07596
490G00009942,Mintern Street,51.53262,-0.08724
490G00011217,Princess May Road,51.55284,-0.075
490G00012019,Shacklewell Lane,51.55085,-0.07378
490G00015109,Northchurch Road,51.54131,-0.08513
490G00015168,Rectory Road / Brooke Road,51.55977,-0.0701
490G00015282,Canal Walk,51.53801,-0.08622
490G00015851,Rio Cinema,51.5501,-0.07511
490G00018899,Mortimer Road,51.54245,-0.07815
490G00019828,Ufton Road,51.54299,-0.08356
490G000655,Manse Road,51.5572,-0.06982
490G000872,Old Street Stn   / Moorfields Eye Hosp,51.52738,-0.08791
40004410135A,Tatsfield Village / Old Ship,51.292856,0.025454
490001255O,Southall Station,51.50554,-0.3789
490G00006772,Featherstone Road,51.50225,-0.38543
490G00007521,Gregory Road,51.50042,-0.36802
490G00007906,Tensing Road,51.50195,-0.37132
490G00008429,Hunt Road,51.5003,-0.37312
490G00008656,Kennington Road,51.48485,-0.10929
490G00009007,Lavender Hill Police Station,51.46421,-0.16459
490G000092,Hillary Road,51.50157,-0.36967
490G00009681,Marlow Road,51.50055,-0.37866
490G00009693,Marshalsea Road,51.50273,-0.09715
490G00010754,Park Avenue,51.5078,-0.37793
490G00013052,Sussex Road,51.50046,-0.38797
490G00013388,The Green,51.5029,-0.38101
490G00013412,Guru Nanak Road,51.50096,-0.38207
490G00013714,Toplocks Estate / Glade Lane,51.50303,-0.36415
490G00013715,Mcnair Road,51.50239,-0.36527
490G00013814,Trubshaw Road,51.50146,-0.36484
490G00014162,Waltham Road,51.50078,-0.38485
400G4410805B,Maesmaur Road,51.291023,0.029045
400G4410805D,Ricketts Hill Road North,51.303677,0.035184
490G00003994,Lebanon Gardens,51.31064,0.03561
490G00005009,Charlton Drive,51.30801,0.03153
490G00008533,Biggin Hill / Black Horse,51.3163,0.03309
490G00009625,Maple Leaf Close,51.31258,0.03371
490G00010445,Norwood Gardens,51.4986,-0.37831
490G00011693,Rosehill Road,51.30998,0.02744
490G00012824,Stock Hill,51.31237,0.02865
490G00013017,Main Road / Sunningvale Avenue,51.32204,0.02773
490G00013056,Montague Waye,51.49985,-0.38642
490G00013114,Swievelands Road,51.30882,0.02881
490G00014608,Adelaide Road,51.4993,-0.38279
490G00016593,Havelock Road,51.50098,-0.37634
490010848N,New Addington Tram Stop,51.34287,-0.01807
490G00003093,King Henry's Drive / Homestead Way,51.33682,-0.00152
490G000037,Warbank Crescent,51.33821,-0.00234
